Все слова - 101312: 
семантический : 18 : семантическая
сеть : 17 : сеть
текст : 17 : текста
в : 12 : в
задача : 17 : задачах
о : 12 : об
анализ : 17 : анализе
текст : 17 : текстов
а : 13 : а
есть : 20 : е
в : 12 : в
в : 12 : в
и : 13 : и
информационный : 18 : информационная
безопасность : 17 : безопасность
правоохранительный : 18 : правоохранительных
орган : 17 : органов
международный : 18 : международная
научный : 18 : научная
конференция : 17 : конференция
сборник : 17 : сборник
труд : 17 : трудов
москва : 17 : москва
2002 : 28 : 2002
с : 12 : с
основа : 17 : основу
разрабатываемый : 22 : разрабатываемых
подход : 17 : подходов
лёг : 20 : легли
оригинальный : 18 : оригинальные
модель : 17 : модели
обработка : 17 : обработки
информация : 17 : информации
человеческий : 18 : человеческим
мозг : 17 : мозгом
который : 31 : которые
реализован : 23 : реализованы
с : 12 : с
применение : 17 : применением
и : 13 : и
лингвистический : 18 : лингвистических
алгоритм : 17 : алгоритмов
часть : 17 : часть
результат : 17 : результатов
исследование : 17 : исследований
уж : 17 : уже
получил : 20 : получила
внедрение : 17 : внедрение
в : 12 : в
система : 17 : системе
поддержка : 17 : поддержки
русскоязычный : 18 : русскоязычного
поиск : 17 : поиска
и : 13 : и
анализ : 17 : анализа
документ : 17 : документов
для : 25 : для
субд : 17 : субд
а : 13 : а
также : 14 : также
в : 12 : в
ряд : 17 : ряде
другой : 18 : других
проект : 17 : проектов
автоматический : 18 : автоматического
анализ : 17 : анализа
текст : 17 : текста
на : 12 : на
естественный : 18 : естественном
язык : 17 : языке
активно : 9 : активно
развиваемый : 22 : развиваемые
мы : 30 : нами
в : 12 : в
компания : 17 : компании
представлен : 23 : представлены
на : 12 : на
сайт : 17 : сайте
в : 12 : в
основа : 17 : основу
разрабатываемый : 22 : разрабатываемых
подход : 17 : подходов
лёг : 20 : легли
оригинальный : 18 : оригинальные
модель : 17 : модели
обработка : 17 : обработки
информация : 17 : информации
человеческий : 18 : человеческим
мозг : 17 : мозгом
который : 31 : которые
реализован : 23 : реализованы
с : 12 : с
применение : 17 : применением
и : 13 : и
лингвистический : 18 : лингвистических
алгоритм : 17 : алгоритмов
часть : 17 : часть
результат : 17 : результатов
исследование : 17 : исследований
уж : 17 : уже
получил : 20 : получила
внедрение : 17 : внедрение
в : 12 : в
система : 17 : системе
поддержка : 17 : поддержки
русскоязычный : 18 : русскоязычного
поиск : 17 : поиска
и : 13 : и
анализ : 17 : анализа
документ : 17 : документов
для : 25 : для
субд : 17 : субд
а : 13 : а
также : 14 : также
в : 12 : в
ряд : 17 : ряде
другой : 18 : других
проект : 17 : проектов
показал : 20 : показал
наш : 18 : наш
опыт : 17 : опыт
в : 12 : в
настоящий : 18 : настоящий
момент : 17 : момент
наибольший : 18 : наибольший
интерес : 17 : интерес
для : 25 : для
заказчик : 17 : заказчика
представляю : 20 : представляет
технология : 17 : технология
анализ : 17 : анализа
и : 13 : и
визуализация : 17 : визуализации
содержание : 17 : содержания
текст : 17 : текста
на : 12 : на
основа : 17 : основе
семантический : 18 : семантических
сеть : 17 : сетей
который : 31 : которая
предназначен : 23 : предназначена
прежде : 12 : прежде
весь : 18 : всего
для : 25 : для
решение : 17 : решения
экспертный : 18 : экспертных
задача : 17 : задач
связанный : 18 : связанных
с : 12 : с
поиск : 17 : поиском
скрытый : 18 : скрытой
информация : 17 : информации
в : 12 : в
больший : 18 : больших
массив : 17 : массивах
документ : 17 : документов
иллюстрация : 17 : иллюстрации
основной : 18 : основных
возможность : 17 : возможностей
данна : 17 : данной
технология : 17 : технологии
настоящий : 18 : настоящий
доклад : 17 : доклад
основа : 17 : основе
процедура : 17 : процедур
используемый : 22 : используемых
мы : 30 : нами
для : 25 : для
анализ : 17 : анализа
документ : 17 : документов
лежу : 20 : лежит
представление : 17 : представление
смысл : 17 : смысла
текст : 17 : текста
в : 12 : в
форма : 17 : форме
ассоциативный : 18 : ассоциативной
семантический : 18 : семантической
сеть : 17 : сети
сеть : 17 : сеть
это : 14 : это
множество : 17 : множество
понятие : 17 : понятий
слово : 17 : слов
и : 13 : и
словосочетание : 17 : словосочетаний
связанный : 18 : связанных
между : 12 : между
себя : 31 : собой
в : 12 : в
семантический : 18 : семантическую
сеть : 17 : сеть
включаюсь : 20 : включаются
наиболее : 9 : наиболее
часто : 9 : часто
встречающийся : 22 : встречающиеся
слово : 17 : слова
текст : 17 : текста
который : 31 : которые
несу : 20 : несут
основной : 18 : основную
смысловой : 18 : смысловую
нагрузка : 17 : нагрузку
для : 25 : для
каждый : 18 : каждого
понятие : 17 : понятия
формируюсь : 20 : формируется
набор : 17 : набор
ассоциативный : 18 : ассоциативных
смысловой : 18 : смысловых
связь : 17 : связей
так : 13 : т
есть : 20 : е
список : 17 : список
другой : 18 : других
понятие : 17 : понятий
в : 12 : в
сочетание : 17 : сочетании
с : 12 : с
который : 31 : которыми
оно : 31 : оно
встречаюсь : 20 : встречалось
в : 12 : в
предложение : 17 : предложениях
текст : 17 : текста
пру : 20 : при
это : 30 : этом
считаюсь : 20 : считается
что : 13 : что
чем : 13 : чем
чаще : 10 : чаще
встречаюсь : 20 : встречаются
вместе : 9 : вместе
два : 28 : два
понятие : 17 : понятия
в : 12 : в
предложение : 17 : предложениях
текст : 17 : текста
тем : 13 : тем
выше : 10 : выше
вероятность : 17 : вероятность
того : 17 : того
что : 13 : что
они : 31 : они
связан : 23 : связаны
по : 12 : по
смысл : 17 : смыслу
лингвистический : 18 : лингвистические
алгоритм : 17 : алгоритмы
использовал : 20 : используют
морфологический : 18 : морфологический
и : 13 : и
синтаксический : 18 : синтаксический
анализ : 17 : анализ
а : 13 : а
также : 14 : также
тезаурус : 17 : тезаурус
русский : 18 : русского
язык : 17 : языка
для : 25 : для
отождествление : 17 : отождествления
близкие : 17 : близких
по : 12 : по
смысл : 17 : смыслу
слово : 17 : слов
и : 13 : и
словосочетание : 17 : словосочетаний
например : 13 : например
такой : 18 : такие
выражение : 17 : выражения
как : 13 : как
несколько : 28 : нескольких
библиотечный : 18 : библиотечных
и : 13 : и
два : 28 : двух
библиотечный : 18 : библиотечных
привожусь : 20 : приводятся
к : 12 : к
один : 18 : одному
понятие : 17 : понятию
библиотечный : 18 : библиотечной
кроме : 12 : кроме
того : 17 : того
из : 12 : из
число : 17 : числа
понятие : 17 : понятий
исключаюсь : 20 : исключаются
общеупотребимый : 18 : общеупотребимые
слово : 17 : слова
который : 31 : которые
не : 14 : не
несу : 20 : несут
самостоятельный : 18 : самостоятельной
смысловой : 18 : смысловой
нагрузка : 17 : нагрузки
или : 13 : или
имею : 20 : имеют
широкий : 18 : широкое
значение : 17 : значение
так : 13 : так
слово : 17 : слова
и : 13 : и
сам : 18 : сами
по : 12 : по
себе : 14 : себе
не : 14 : не
являюсь : 20 : являются
понятие : 17 : понятиями
характеризующий : 22 : характеризующими
содержание : 17 : содержание
документ : 17 : документа
но : 13 : но
могу : 20 : могут
образовать : 21 : образовать
понятие : 17 : понятие
выраженный : 18 : выраженное
сочетание : 17 : сочетанием
развитие : 17 : развития
сельский : 18 : сельского
